iso_country,iata_code,ident,name,municipality,elevation_ft,type,gps_code,coordinates
MH,UTK,03N,Utirik Apt.,Utirik Island,4,small_airport,03N,"11.222219, 169.851429"
US,OCA,07FA,Ocean Reef Club Apt.,Key Largo,8,small_airport,07FA,"25.325399398804, -80.274803161621"
US,CUX,07TE,Cuddihy Field,Corpus Christi,39,small_airport,07TE,"27.7211, -97.512802"
US,CSE,0CO2,Crested Butte Airpark,Crested Butte,8980,small_airport,0CO2,"38.851918, -106.928341"
US,CUS,0NM0,Columbus Apt.,Columbus,4024,small_airport,0NM0,"31.823898, -107.629924"
US,JCY,0TE7,LBJ Ranch Apt.,Stonewall,1515,small_airport,0TE7,"30.251801, -98.622498"
US,WLR,13Z,Loring Seaplane Base,Loring,,seaplane_base,13Z,"55.601299, -131.636993"
US,NUP,16A,Nunapitchuk Apt.,Nunapitchuk,12,small_airport,PPIT,"60.905591, -162.440454"
US,PTC,16K,Port Alice Seaplane Base,Port Alice,0,seaplane_base,16K,"55.803, -133.597"
US,ICY,19AK,Icy Bay Apt.,Icy Bay,50,small_airport,19AK,"59.966269, -141.660118"
US,PPV,19P,Port Protection Seaplane Base,Port Protection,0,seaplane_base,19P,"56.328800201416, -133.61000061035"
US,KKK,1KC,Kalakaket Creek AS Apt.,Kalakaket Creek,1598,small_airport,1KC,"64.4166256967, -156.820392609"
US,MHS,1O6,Dunsmuir Muni-Mott Apt.,Dunsmuir,3258,small_airport,K1O6,"41.263199, -122.272003"
US,LVD,2AK,Lime Village Apt.,Lime Village,552,small_airport,2AK,"61.3591003418, -155.440002441"
US,HGZ,2AK6,Hog River Apt.,Hogatza,534,small_airport,2AK6,"66.176133, -155.684816"
US,OTN,2IG4,Ed-Air Apt.,Oaktown,426,small_airport,KI20,"38.851782, -87.49987"
US,TLF,2K5,Telida Apt.,Telida,650,small_airport,2K5,"63.393901824951, -153.26899719238"
US,BZT,2TE0,Eagle Air Park,Brazoria,15,small_airport,2TE0,"28.982200622559, -95.579696655273"
US,FAK,2Z6,False Island Seaplane Base,False Island,,seaplane_base,2Z6,"57.5321998596, -135.212997437"
US,BYW,38WA,Blakely Island Apt.,Blakely Island,66,small_airport,38WA,"48.579162, -122.823844"
US,DRF,3AK5,Drift River Apt.,Kenai,30,small_airport,3AK5,"60.588901519800004, -152.162002563"
US,BDF,3IS8,Rinkenberger Restricted Landing Area,Bradford,808,small_airport,3IS8,"41.230899810800004, -89.61569976810001"
US,TEH,3T4,Tetlin Apt.,Tetlin,1663,small_airport,3T4,"63.124618, -142.518005"
US,VRS,3VS,Roy Otten Memorial Airfield,Versailles,1030,small_airport,3VS,"38.427799224854, -92.875198364258"
US,GDH,3Z8,Golden Horn Lodge Seaplane Base,Golden Horn Lodge,91,seaplane_base,3Z8,"59.7470016479, -158.875"
US,LIV,4AK,Livengood Camp Apt.,Livengood,425,small_airport,4AK,"65.467, -148.6534"
US,PDB,4K0,Pedro Bay Apt.,Pedro Bay,45,small_airport,4K0,"59.796925, -154.129994"
US,TNK,4KA,Tununak Apt.,Tununak,14,small_airport,POKA,"60.569638, -165.246649"
US,TKI,57A,Tokeen Seaplane Base,Tokeen,,seaplane_base,57A,"55.9370994568, -133.32699585"
US,WKK,5A8,Aleknagik / New Apt.,Aleknagik,66,medium_airport,5A8,"59.2826004028, -158.617996216"
US,RFK,5MS1,Rollang Field,Rolling Fork,106,small_airport,5MS1,"32.953543, -90.845144"
US,BKF,5Z9,Lake Brooks Seaplane Base,Katmai National Park,36,seaplane_base,5Z9,"58.554798, -155.776993"
US,BCS,65LA,Southern Seaplane Apt.,Belle Chasse,,small_airport,65LA,"29.866078, -90.021608"
US,MMN,6B6,Minute Man Air Field,Stow,268,small_airport,K6B6,"42.460298, -71.519031"
US,BWL,6OK6,Earl Henry Apt.,Blackwell,1054,small_airport,6OK6,"36.7958984375, -97.3170013428"
US,WYB,78K,Yes Bay Lodge Seaplane Base,Yes Bay,,seaplane_base,78K,"55.9163017273, -131.800994873"
US,CWS,78WA,Center Island Apt.,Center Island,115,small_airport,78WA,"48.490046, -122.831612"
US,TEK,7KA,Tatitlek Apt.,Tatitlek,62,small_airport,PAKA,"60.871449, -146.690297"
US,DUF,7NC2,Pine Island Apt.,Corolla,16,small_airport,7NC2,"36.252744, -75.785256"
US,SSW,7WA5,Stuart Island Airpark,Friday Harbor,10,small_airport,7WA5,"48.673379, -123.175439"
US,FOB,82CL,Fort Bragg Apt.,Fort Bragg,71,small_airport,82CL,"39.472445, -123.795319"
US,PUL,83Q,Port of Poulsbo Marina Moorage Seaplane Base,Poulsbo,0,seaplane_base,83Q,"47.734001159668, -122.64700317383"
US,WMK,84K,Meyers Chuck Seaplane Base,Meyers Chuck,0,seaplane_base,84K,"55.7396011353, -132.255004883"
US,AXB,89NY,Maxson Airfield,Alexandria Bay,340,small_airport,89NY,"44.312002, -75.90034"
US,REE,8XS8,Reese Airpark,Lubbock,3338,small_airport,8XS8,"33.590301513672, -102.03700256348"
US,WDN,90WA,Waldron Airstrip,Eastsound,140,small_airport,90WA,"48.71141, -123.018208"
US,CHU,9A3,Chuathbaluk Apt.,Chuathbaluk,244,small_airport,PACH,"61.579102, -159.216003"
US,PSQ,9N2,Philadelphia Seaplane Base,Essington,0,seaplane_base,9N2,"39.859001159668, -75.299598693848"
US,SGW,A23,Saginaw Seaplane Base,Saginaw Bay,0,seaplane_base,A23,"56.8862991333, -134.158004761"
US,WTL,A61,Tuntutuliak Apt.,Tuntutuliak,16,small_airport,A61,"60.351243, -162.654476"
US,TWA,A63,Twin Hills Apt.,Twin Hills,82,small_airport,A63,"59.074713, -160.274992"
US,KCQ,A79,Chignik Lake Apt.,Chignik Lake,50,small_airport,A79,"56.2550010681, -158.774993896"
PG,ADC,ADC,Andakombe Apt.,Andekombe,3600,small_airport,AYAN,"-7.13722222222, 145.744722222"
SS,AEE,AEE,Adareil Apt.,Adar,1301,small_airport,HJAR,"10.053611, 32.959444"
PG,AEK,AEK,Aseki Apt.,Aseki,4106,small_airport,AYAX,"-7.350805, 146.193994"
AF,KHT,AF-0005,"""Ghost"" Intl. Apt.",Khost,4204,medium_airport,OAKS,"33.284605, 69.80734"
AF,URZ,AF10,Orūzgān Apt.,Orūzgān,6725,small_airport,OARG,"32.9029998779, 66.630897522"
AF,OLR,AF11,Salerno Apt.,Khost,3780,small_airport,OASL,"33.3638, 69.9561"
PG,AFR,AFR,Afore Airstrip,,2500,small_airport,AYAF,"-9.13867, 148.390701"
SB,AFT,AGAF,Afutara Aerodrome,Bila,23,small_airport,AGAF,"-9.19138888889, 160.948611111"
SB,RNA,AGAR,Ulawa Apt.,Arona,40,small_airport,AGAR,"-9.86054358262, 161.979546547"
